"Player ID","Player","Team","Position",TARGETS,RECEPTIONS,RECEIVING_YARDS,RECEIVING_TOUCHDOWNS,"Fantasy Points"
"2576","Ben Skowronek","LAR","WR","24.0","9.4","132.3","0.0","13.23"
"1244","Braxton Berrios","NYJ","WR","2.4","9.2","101.7","0.5","13.13"
"750","Tajae Sharpe","ATL","WR","24.0","11.7","107.2","0.4","12.83"
"1831","Jeff Smith","NYJ","WR","28.0","11.4","113.8","0.2","12.58"
"2412","Jonathan Adams Jr.","FA","WR","16.0","10.0","121.0","0.0","12.10"
"1827","Gunner Olszewski","NE","WR","12.0","6.2","74.3","0.5","11.21"
"1247","Ray-Ray McCloud","PIT","WR","2.7","10.2","89.6","0.3","11.16"
"753","Geronimo Allison","FA","WR","22.0","6.5","76.0","0.5","10.60"
"1585","Antoine Wesley","ARI","WR","24.0","7.3","77.5","0.4","10.15"
"2408","Trevon Grimes","FA","WR","14.0","8.0","101.0","0.0","10.10"
"2582","Kawaan Baker","NO","WR","15.0","9.0","101.0","0.0","10.10"
"2402","Marquez Stevenson","BUF","WR","16.4","8.0","98.6","0.0","10.01"
"452","Jordan Matthews","SF","WR","15.0","12.0","98.0","0.0","9.80"
"893","Alex Erickson","CAR","WR","14.0","7.2","84.6","0.2","9.66"
"2388","Simi Fehoko","DAL","WR","9.7","6.4","77.9","0.3","9.59"
"2391","Tre Nixon","NE","WR","14.0","8.0","95.0","0.0","9.50"
"2401","Cornell Powell","KC","WR","13.0","8.0","91.0","0.0","9.10"
"2376","Dazz Newsome","CHI","WR","20.0","7.4","91.0","0.0","9.10"
"2552","Jalen Camp","HOU","WR","11.0","6.0","87.0","0.0","8.70"
"1265","Daurice Fountain","KC","WR","18.0","5.0","60.6","0.4","8.46"
"1494","KhaDarel Hodge","DET","WR","12.0","5.9","72.4","0.2","8.44"
"2400","Isaiah McKoy","FA","WR","11.0","6.0","82.0","0.0","8.20"
"2398","Racey McMath","TEN","WR","16.9","6.1","75.8","0.1","8.18"
"1563","JJ Arcega-Whiteside","PHI","WR","12.9","5.7","73.9","0.1","7.99"
"1833","Diontae Spencer","DEN","WR","0.0","6.4","60.9","0.3","7.99"
"1968","Antonio Gandy-Golden","WAS","WR","12.0","6.1","73.7","0.1","7.97"
"1965","Jauan Jennings","SF","WR","10.0","7.0","69.6","0.2","7.86"
"2411","Dax Milne","WAS","WR","19.0","6.8","77.7","0.0","7.77"
"1820","Malik Taylor","GB","WR","10.0","5.6","68.2","0.2","7.74"
"2371","Seth Williams","DEN","WR","11.0","6.0","77.0","0.0","7.70"
"1562","Hakeem Butler","FA","WR","11.0","3.8","44.9","0.5","7.49"
"1134","Victor Bolden","FA","WR","0.0","5.3","56.2","0.3","7.42"
"1749","Ashton Dulin","IND","WR","25.0","5.7","63.1","0.1","6.92"
"1564","Greg Dortch","ARI","WR","0.0","4.1","46.9","0.3","6.49"
"689","DeAndre Carter","WAS","WR","0.0","3.8","45.1","0.3","6.31"
"1967","Joe Reed","LAC","WR","12.0","4.4","52.0","0.0","6.24"
"1956","K.J. Hill","FA","WR","1.7","4.8","53.7","0.1","5.97"
"1586","Stanley Morgan","CIN","WR","9.0","6.3","54.7","0.1","5.78"
"2590","Blake Proehl","MIN","WR","9.0","5.0","54.0","0.0","5.40"
"1737","John Ursua","SEA","WR","0.0","2.9","37.2","0.2","4.92"
"1079","Mack Hollins","MIA","WR","11.0","3.9","41.9","0.1","4.82"
"1824","Nsimba Webster","CHI","WR","0.0","2.1","36.3","0.1","4.37"
"1441","C.J. Board","NYG","WR","0.0","2.7","36.3","0.1","4.26"
"2276","Trenton Irwin","CIN","WR","7.0","3.6","45.1","0.0","4.21"
"90","Matt Slater","NE","WR","0.0","1.6","31.3","0.1","3.80"
"1204","Brandon Zylstra","CAR","WR","5.0","3.4","30.7","0.1","3.68"
"752","Pharoh Cooper","FA","WR","5.0","3.0","36.0","0.0","3.60"
"1455","Brandon Powell","LAR","WR","0.0","2.0","21.8","0.2","3.38"
"1953","James Proche","BAL","WR","1.3","2.1","27.7","0.1","3.37"
